client_id,response_rate
c17974679,1.0
c83561585,1.0
c94912160,1.0
c41079463,1.0
c70728767,0.0
c20048591,1.0
c74910699,0.0
c22215903,1.0
c98250011,1.0
c15006704,0.0
c69765366,1.0
c07437083,1.0
c69597737,0.0
c60437873,1.0
c45612446,0.0
c04825863,1.0
c75311138,1.0
c74449570,1.0
c91088976,1.0
c40068208,0.0
c37533660,1.0
c68368828,0.6666666666666666
c45299276,1.0
c98050891,0.0
c63792114,1.0
c91067371,1.0
c85987763,0.0
c73215144,1.0
c26982575,0.0
c34567384,1.0
c84723279,0.0
c49487683,1.0
c51076786,0.0
c19320112,1.0
c89701144,1.0
c23446723,1.0
c32042405,0.0
c34692694,1.0
c03912502,0.0
c04153738,1.0
c79155863,0.0
c34983307,1.0
c33858130,1.0
c34231228,1.0
c39294691,1.0
c59992760,1.0
c60624390,1.0
c84710314,1.0
c54438117,1.0
c40470172,1.0
c48329347,0.0
c28377144,0.0
c05923785,1.0
c84220894,1.0
c44389675,0.0
c43185466,0.0
c40957904,1.0
c53339903,1.0
c43350734,0.0
c55179069,0.0
c55223982,0.0
c02067682,1.0
c92476529,1.0
c35905974,1.0
c83686557,0.0
c66577460,1.0
c09611010,1.0
c64312785,1.0
c02174057,1.0
c22309809,1.0
c86478540,1.0
c13259106,0.0
c29174730,1.0
c21590620,1.0
c34600923,0.0
c98369156,0.0
c31399477,1.0
c44872486,1.0
c27940700,1.0
c39790692,1.0
c41137044,1.0
c05104315,1.0
c45524498,1.0
c49158940,1.0
c81096126,1.0
c58932366,1.0
c29090285,1.0
c79606753,1.0
c39053281,0.0
c08585435,0.0
c57669512,0.0
c42695587,0.0
c83575991,0.0
c10468949,0.0
c61013802,0.0
c49503142,0.0
c33601977,0.0
c42545827,0.0
c10272809,0.0
c44868905,0.0
c93383196,1.0
c43438554,0.0
c84088310,0.0
c79969714,0.0
c05508633,0.0
c29890976,0.0
c63443334,0.0
c08824817,0.0
c46917039,0.0
c25062626,0.0
c29630056,0.0
c80112789,0.0
c78071016,0.0
c76207671,1.0
c30731115,0.0
c79611672,0.0
c62265675,0.0
c45128250,0.0
c53666216,0.0
c87419019,0.0
c95467579,0.0
c35395248,0.0
c61664226,0.0
c05120166,0.0
c58720895,0.0
c40601743,0.0
c46867851,0.0
c50474933,0.0
c30699806,0.0
c26397802,0.0
c23417107,0.0
c18180959,0.0
c74639662,0.0
c11086542,0.0
c34314813,0.0
c16652077,0.0
c90823121,0.0
c57196154,0.0
c80846554,0.0
c81250300,0.0
c89932808,0.0
c85292970,0.0
c37482747,0.0
c87746164,0.0
c15928597,0.0
c33343908,0.0
c70154651,0.0
c15431633,0.0
c91408444,0.0
c33647047,0.0
c57213330,0.0
c54167651,0.0
c90849962,0.0
c03707758,0.0
c84068327,0.0
c17336614,0.0
c09871520,0.0
c63028286,0.0
c08478225,0.0
c58150645,1.0
c03032105,0.0
c33989998,0.0
c11507138,0.0
c96774098,0.0
c42880505,0.0
c31167494,0.0
c93973547,0.0
c67101985,0.0
c59697223,0.0
c89782999,0.0
c34045360,0.0
c14103687,0.0
c04308168,0.0
c73668178,0.0
c30389547,0.0
c59958217,0.0
c42676067,0.0
c95983185,0.0
c66949372,0.0
c12739063,0.0
c49567396,0.0
c57658820,0.0
c52457284,0.0
c14390291,0.0
c63852414,0.0
c77975027,0.0
c34617104,0.0
c10095064,0.0
c26316815,0.0
c65161383,0.0
c09293013,0.0
c17572354,0.0
c64349642,0.0
c31953410,0.0
c30834128,0.0
c02262781,0.0
c32678856,0.0
c27416121,0.0
c44647132,1.0
c30785050,0.0
c36233086,0.0
c54231221,0.0
c60223611,0.0
c99116292,0.0
c70958358,0.0
c86381385,0.0
c08371566,0.0
c20385136,0.0
c37111678,0.0
c65189312,0.0
c01644836,0.0
c56904838,0.0
c45154231,0.5
c30566577,0.0
c91464376,0.0
c32782297,0.0
c26250509,0.0
c37419934,0.0
c46432624,0.0
c47619223,0.0
c32558022,0.0
c72266817,0.0
c24244259,0.0
c07174414,0.0
c63685648,0.0
c53154542,0.0
c51698280,0.0
c04747426,0.0
c07694182,0.0
c51260641,0.0
c46036284,0.0
c23076314,0.0
c11123386,0.0
c32549886,0.0
c33466666,0.0
c01014842,0.0
c67293987,0.0
c78649683,0.0
c81945008,0.0
c06667516,0.0
c45831025,0.0
c46846140,0.0
c30158436,0.0
